epocas;batch;optimizador;capas;accuracy
6;4;Adagrad;3;0,583
4;8;Adagrad;3;0,576
4;12;Adagrad;3;0,576
6;8;Adam;3;0,553
6;12;Adam;3;0,553
6;12;Adagrad;3;0,545
4;12;Adam;3;0,538
6;4;Adam;3;0,530
6;4;Adagrad;4;0,530
6;8;Adam;4;0,523
6;8;Adagrad;3;0,523
6;12;Adam;4;0,508
6;8;Adagrad;4;0,500
4;8;Adam;3;0,492
4;8;Adagrad;4;0,492
6;8;Adagrad;5;0,470
4;8;Adagrad;5;0,462
4;4;SGD;3;0,455
4;4;Adagrad;3;0,455
6;4;Adam;4;0,455
6;12;Adagrad;5;0,447
4;4;Adagrad;4;0,439
4;12;Adam;4;0,439
6;4;Adagrad;5;0,432
4;4;Adam;3;0,424
4;8;Adam;4;0,417
6;8;SGD;3;0,394
4;12;Adam;5;0,371
4;4;Adagrad;5;0,364
4;8;SGD;3;0,364
6;4;SGD;3;0,364
4;8;Adam;5;0,333
4;4;Adam;4;0,311
6;8;Adam;5;0,303
4;12;Adagrad;4;0,288
4;12;Adagrad;5;0,280
6;12;Adam;5;0,280
6;12;Adagrad;4;0,273
6;12;SGD;3;0,250
4;12;SGD;3;0,242
4;12;SGD;4;0,212
6;4;Adam;5;0,212
6;4;SGD;4;0,212
4;4;Adam;5;0,174
4;4;SGD;5;0,174
4;8;SGD;5;0,136
4;8;SGD;4;0,121
4;12;SGD;5;0,106
6;8;SGD;4;0,098
6;8;SGD;5;0,098
4;4;SGD;4;0,091
6;4;SGD;5;0,091
6;12;SGD;4;0,091
6;12;SGD;5;0,091
